_id,href,status,auctionDate,auctionId,adjustedMmrPrice,baseMmrPrice,auctionPrice,auctionTypes,carName,city,color,drivetrain,engine,fuelType,make,model,odometer,transmission,trim,vin,year
5fb35e574880f7092047c1a5,https://app.acvauctions.com/auction/2093260,4,10/12/2020,2093260,"$30,800 ","$28,100 ","$23,500 ",GREEN YELLOW,2019 Nissan Frontier PRO-4X,"Baytown, TX",Red,4WD,4.0L V6 MPI DOHC,Gas,Nissan,Frontier,5350,Automatic,PRO-4X,1N6AD0EV8KN710019,2019
5fb351d24880f7092047bd16,https://app.acvauctions.com/auction/2162994,4,10/28/2020,2162994,"$76,400 ","$73,700 ","$71,200 ",GREEN YELLOW,2019 Mercedes-Benz S-Class S560,"Brooklyn, NY",White,AWD,4.0L V8 DI 2-T/C,Gas,Mercedes-Benz,S-Class,19985,Automatic,S560,WDDUG8GB7KA438682,2019
5fb356334880f7092047c042,https://app.acvauctions.com/auction/2112949,4,10/15/2020,2112949,"$12,450 ","$12,500 ","$11,950 ",GREEN YELLOW,2017 Jeep Compass Latitude,"Irwin, PA",Blue,4WD,2.4L I-4 SFI DOHC,Gas,Jeep,Compass,38888,Automatic,Latitude,1C4NJDEB2HD210026,2017
,,,,,,,,,,,,,,,,,,,,,
5fb346e2bb0128181cc8d4f7,https://app.acvauctions.com/auction/2233177,4,11/16/2020,2233177,"$6,450 ","$3,850 ","$4,100 ",GREEN YELLOW,2008 Honda Pilot EX-L,"Indianapolis, IN",Gray,4WD,3.5L V6 MPI SOHC VTEC,Gas,Honda,Pilot,47990,Automatic,EX-L,5FNYF18558B019857,2008
,,,,,,,,,,,,,,,,,,,,,
5fb357274880f7092047c062,https://app.acvauctions.com/auction/2112626,4,10/15/2020,2112626,"$10,850 ","$10,200 ","$6,300 ",GREEN YELLOW,2015 Subaru Impreza Base,"Huntington, NY",Silver,AWD,2.0L H-4 SMPI DOHC,Gas,Subaru,Impreza,52233,Automatic,Base,JF1GPAA6XFH285342,2015
,,,,,,,,,,,,,,,,,,,,,
5fb35a014880f7092047c0bb,https://app.acvauctions.com/auction/2107971,4,10/15/2020,2107971,"$1,625 ",$825 ,"$1,450 ",GREEN YELLOW,2007 Chevrolet Cobalt LS,"Johnstown, PA",Silver,FWD,2.2L I-4 MPI DOHC,Gas,Chevrolet,Cobalt,52325,Automatic,LS,1G1AK15F977298706,2007
,,,,,,,,,,,,,,,,,,,,,
5fb352304880f7092047bda5,https://app.acvauctions.com/auction/2154049,4,10/26/2020,2154049,"$36,300 ","$37,700 ","$31,700 ",GREEN YELLOW,2017 Toyota Tundra Limited,"Fuquay Varina, NC",Gray,4WD,5.7L V8 EFI DOHC Flex,Flex,Toyota,Tundra,54334,Automatic,Limited,5TFHW5F18HX618068,2017
,,,,,,,,,,,,,,,,,,,,,
